Title,JD,Skills
Senior Data Analyst,"About the role:

We are seeking an experienced Senior Data Analyst to join our GTM (Go-to-Market) team and play a critical role in driving the growth and success of Altium 365. In this role, you will be responsible for analyzing data related to our GTM efforts, generating insights, and providing recommendations to improve the effectiveness and efficiency of our marketing, sales, and customer success initiatives.

A day in the life of our {Job Title}:
Collaborate with cross-functional teams, including product, sales, marketing, and customer success, to define, collect, and analyze relevant data related to Altium 365's GTM efforts.
Develop and maintain KPIs, dashboards, and reports to track and measure the performance of GTM initiatives, providing regular updates to stakeholders.
Identify trends, patterns, and opportunities for improvement within the data, and present actionable insights and recommendations to drive growth and optimize GTM strategies.
Design and conduct experiments to test hypotheses, validate assumptions, and measure the impact of changes to GTM initiatives.
Support the development of data-driven GTM strategies, including customer segmentation, targeting, and forecasting.
Create and maintain documentation related to data sources, processes, and methodologies to ensure data quality, consistency, and integrity.
Continuously enhance data analysis capabilities by staying current with industry best practices, tools, and techniques.
Who We’re Looking For:
Bachelor's degree in Data Science, Computer Science, Statistics, Economics, or a related field; Master's degree preferred.
8+ years of experience in data analysis, preferably with SaaS products and focus on GTM initiatives.
Strong proficiency in data analysis tools and languages, such as SQL, Python, R, and Excel.
Experience with data visualization tools, such as Tableau or Power BI, to create clear and compelling visual representations of data.
Excellent problem-solving skills, with the ability to analyze complex data sets and draw meaningful conclusions.
Strong attention to detail and a commitment to data quality and accuracy.
Exceptional communication skills, with the ability to explain complex analytical concepts to both technical and non-technical stakeholders.
A collaborative mindset and the ability to work effectively in cross-functional teams.

US JOB POSTS Must include:

The salary range for this role is $75,000 - $110,000. Actual compensation packages within this range are based on a wide array of factors unique to each candidate and role requirements, including but not limited to skill set, years and depth of experience, certifications, and specific location.

🎯 What Matters to Us
Big-thinking in pursuit of purpose
Diversity of thought
Courage of conviction
Transparency of intent
Ingenuity of AND
Agility in action
Adaptability of approach
Grit in pursuit of mission","Data Analysis, Data Science, Data Visualization, Problem Solving, R, Analytics, Communication, Data Analytics, Data Quality, Visualization, Python"
Lock Desk Analyst,"Mortgage Lender seeking to add a team member to our Secondary/Capital Markets team. This role will primarily be for our Lockdesk which consists of updating loan parameters and facilitating pricing requests in both Optimal Blue and Encompass. This would also include Lock Extensions, Relocks, and answering some pricing questions. Other than the Lockdesk responsibilities, ad hoc projects and analytics would be common.


Lockdesk experience preferred
Mortgage Industry knowledge/experience
Proficient in Microsoft Excel
Detail Oriented and Mathematically Inclined
Degree in Economics, Mathematics, Finance, or similar discipline preferred","Advertising, Capital Markets, Economics, Encompass, Finance, Industry Training, Mathematics, Microsoft Excel, Mortgage Industry, Mortgages"
Business Data Analyst,"About the job
Position Overview

The focus of this position will be on data analysis of large data sets and will be responsible for supporting various life and health reinsurance clients across all reinsurance administration processes (Administration, Operations, Technical Accounting, Claims, Billing and Reporting). The individual will support any client initiatives and projects related to reinsurance administration and the TAI system. The individual will also play an important role in the implementation of client projects, ranging from software implementations, upgrade projects, and custom modifications to align the TAI Life and Health Reinsurance system with the ceded reinsurance business processes for domestic and international clients. Under limited supervision (working individually or as part of a project team), the individual will perform complex research and data analysis to support business operations and develop recommendations to address problems/issues for their key client projects. The individual will work very closely with team members to ensure high quality delivery of services to all TAI clients.

As a member of the consulting team, this position will ensure TAI has a firm grasp of a client’s business requirements and delivers services in a timely and controlled manner. This role supports internal projects to achieve better operational efficiency where possible without sacrificing quality.

Responsibilities
Planning, organizing and executing assigned business projects on behalf of clients and according to client’s requirements
Identifying and meeting with key stakeholders and SMEs when needed to perform initial and ongoing assessments to establish project risks, timelines and deliverables
Collecting information about the client’s business through a variety of methods (shadowing, interviews, surveys, reading reports etc.)
Analyzing and interpreting data to unearth operational inefficiencies and issues, and identify the causes
Completing data mapping of interfaces between various systems and creating process flows
Performing data reconciliation, analyzing and documenting discrepancies and gaps in functionality
Reviewing reinsurance systems or databases for data quality and compliance
Presenting the results and reconciliation to members of the project team or to various project stockholders
Reviewing and analyzing complex reinsurance arrangements and processes
Gathering business requirements, developing test plans, executing testing, and documenting results
Formulating recommendations and solutions with attention to a client’s needs, capabilities and limitations
Presenting findings and suggestions to clients with ample justification and practical advice
Providing guidance for any occurring problems and issues
Integrating new outsourcing clients/blocks of business into TAI’s administrative platform.
Leading and participating in the implementation of client projects.
Publishing project reports and collaborating on a weekly and monthly basis with key client accounts and management.
Providing training in the use of the TAI system, general reinsurance administration, and the process flow of using the TAI system for reinsurance administration within a clients’ process environment.
Providing phone support for TAI clients in support of the system to determine training opportunities, TAI upgrade opportunities and/or TAI defects.
Conducting complex tasks and activities within TAI and/or externally to obtain information such as life reinsurance policy data, cession data, managing the implementation of insurance products and/or business process workflows into the TAI Life Reinsurance system. May work with other departments, conduct interviews, lead workshops, or conduct primary or secondary research to gather client data if information is not readily available.
Analyzing and developing reports, proposals for action or implementation plans as necessary and presents to management.
Coordinate interdepartmental activities in order to ensure that TAI meets customer expectations. Proactively anticipating and resolving problems to ensure that customers receive prompt, efficient service.
Collaborating with colleagues and the leadership team to ensure delivery of best in class services to TAI’s clients regarding timeliness, quality, accuracy, and value.
Contributing to the successful definition of requirements and functional specifications, process design and systems requirements gathering
Directing walk-throughs and reviews to validate completeness, quality and obtain approval for systems and business requirements
Analyzing impact of solutions on current processes and existing systems
Design, development and quality assurance processes throughout the software development life cycle (SDLC)
System testing and conversion balancing, integration and parallel testing, scenario testing
Regression testing of required system functionality in the consolidated platform
Documentation of target workflows, procedures and controls
Requirements

Required Qualifications
College or University Degree.
Proven knowledge of insurance and accounting concepts.
5+ years of experience in a reinsurance analyst or accounting role.
5+ years of experience in life and health reinsurance, policy administration, or related experience
Proven ability to work with large data sets and complex data flows.
Detailed understanding of reinsurance data, processes, and controls including retention management practices, treaty setup, interpretation, and compliance.
Advanced analytical and problem-solving skills: able to clearly link results to operational performance drivers; able to generate alternatives and drive positive change.
Excellent written and verbal communication skills, able to clearly communicate information in a manner that is easy to understand.
Highly motivated and able to function in the absence of complete information, work independently, and work across functional areas during projects.
Ability to work with management and key stakeholders.
Experience in contributing to projects including defining business requirements, forming and executing test plans, and implementing solutions.
Advanced proficiency in Microsoft Excel, Microsoft Access, Microsoft Word, Microsoft PowerPoint
Working knowledge of SQL and database software
Preferred Qualifications
University degree in computer science, actuarial science, finance, or accounting.
Understanding of reinsurance reserves/valuation processes.
Previous experience with TAI software
Proven understanding of administrative reinsurance auditing and data compliance processes.
FLMI, ACS, or ARA designation from LOMA.
Proficiency in Visio.
Basic understanding of most life insurance products written in the North American market.
Familiarity with reinsurance administration audits and auditing.
Experience with project management concepts and practices.
Highly developed client service skills.
Skills & Competencies
Able to create and communicate an accurate schedule and work under pressure and meet tight schedules.
Able to respond in a fast-paced and competitive workplace.
Knowledge of issues impacting direct writers, reinsurers, and retrocessionaires.
An understanding of how decisions impact other areas of an organizations.
Superior communication skills through written reports, informal meetings and formal presentations.
Aptitude toward mathematics
Ability to pick things up quickly while listening to client needs.
Creativity, curiosity, and a professional demeanor.
Able to handle the unexpected and adapt to a variety of situations.
Ability to deliver difficult messages in a professional manner.
Willingness to travel up to 20%
Willingness to deploy to the field for up to two weeks at a time on rare occasions.
Ability and drive to deliver on time, while working in a semi-autonomous environment.
Willingness to learn to work with the tools and solutions selected by the team.
Insatiable curiosity to understand and improve the state of art.
Ability to work effectively and build relationships with all levels of personnel, customers, suppliers, consultants - both internally and externally.
Exceptional communication skills, with an ability to present and discuss technical information in a way that establishes rapport, persuades others, and provides understanding of project related information to a diverse audience (engineers to executives)","Business Requirements, Communication, Data Mapping, Documentation, Functional Specifications, Implementation Plans, Process Design, Regression Testing, Reinsurance, Timelines"
Supply Chain Analyst,"About the job
For more than 100 years, the Kansas City Board of Public Utilities (BPU) has provided safe, dependable water and electric services across Wyandotte County. As a non-profit public utility, we are fully committed to serving our customers and the community as a whole. It’s more than simply providing a service. It’s a commitment to a better quality of life. That’s why BPU has been recognized as one of the top public utilities in the country. That’s the Power of Community.The BPU offers very competitive pay and one of the best benefits packages in greater Kansas City! Come join the Power of Our Community!


Duties and Responsibilities

- Analyze and identify areas of supply chain operations to improve efficiency. *
- Identify process improvements using technology for system enhancements. Work with the IT group for implementation. *
- Develop and execute projects to enhance supply chain operations. *
- Develop key performance indicators for supply chain operations and measure performance and reporting. *
- Develop strategy for blanket purchases orders for the utility. Manage and implement based on strategy.
- Evaluate current inventory levels, and develop strategy including but not limited to just in time and consigned inventory.
- Provide a communication network to the stores and engineering departments by providing information on products, pricing, and developments in processes.
- Communicates effectively with immediate supervisor either verbally or in writing, by providing feedback and status reports on assignments and information on project milestones and completion. Inform supervisor of important milestones for projects, progress and issues.
- Support department requirements including back-up to Director.

* Denotes essential function

Qualifications:

Education and Experience:

- A Bachelor’s Degree in Management, Supply Chain, Finance, Engineering or a business-related field is required.
- A Master’s Degree (M.A.) or Master of Business Administration (M.B.A.) is a plus.
- Experience in the supply chain field may be substituted for education.A minimum of five (5) years of experience in the purchasing and supply chain function.
- Experience with a utility, Engineer Procure Construction (EPC) company or government agency is preferred.

Required Knowledge, Skills and Abilities:

- Critical judgement and decision-making skills by using analytical and problem-solving skills.Knowledge of supply chain management.
- Ability to work as a team player.Ability to improve processes when needed to make the utility better.
- Knowledge of ERP systems, supply chain processes, technology, and analytical tools.
- Ability to effectively communicate with internal/external customers using written/verbal skills.

Physical Requirements:

- Must be able to perform the essential functions with or without a reasonable accommodation.

Conditions of Employment: All BPU employees, at the inception of their employment, shall have a period of 12 months after employment begins to establish and maintain a legal primary residence within the legally defined boundaries of the Unified Government of Wyandotte County/Kansas City, KS.

Equal Employment Opportunity: The Board of Public Utilities is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.","Problem Solving, Analytical Skills, Communication, Inventory Management, Key Performance Indicators, Procurement, Project Management, Supply Chain Management, Supply Chain Operations"
Business Development - Life Science Connect,"About the job
A Business Development role with Life Science Connect is much more than just selling a product or service. Our team is focused on helping our clients solve a problem or achieve an outcome. When done right, we are viewed as a partner, an extension of their sales and marketing team. We seek to understand, work unbelievably hard to learn what is needed, and then are relentless in our pursuit of providing real help.


With many companies facing a great deal of uncertainty, we consider ourselves fortunate knowing our business has been growing at an incredible rate. Going from 80 employees in 2020 to over 120 today, there has never been a more exciting time to join the team. To continue this growth, we need to add Business Development Managers, and Key Account Managers to our Life Science Connect team in Erie, PA. These roles will be focused in our Clinical Research, Biopharmaceutical, and CDMO communities.


Life Science Connect facilitates mutually beneficial connections between our audiences and strategic partners that accelerate the advancement of life-improving, life-extending, and life-saving therapies and devices. We hire world-class employees with high character, drive, discipline, and a track record of success. In turn, we provide our employees with career growth potential, excellent pay, and a competitive benefits package. Our culture is focused on helping each member of the team become the best version of themselves and promotes a friendly atmosphere and work-life balance.


POSITION REQUIREMENTS

Within the clientele, identify the key stakeholders in each of the departments that will have a say in the decision for the services we offer
Understand the market your clientele works in as well as, or better than they do, including market trends, areas of opportunity, common challenges, and how the buyer/supplier relationships work
Understand the opportunities, goals, and challenges each client has and how they believe they will solve the challenges to reach their goals
Develop, communicate, and implement solutions that help your clients overcome their challenges
Identify and utilize data and other sources of information to effectively make a case for your proposed solution with each stakeholder
Negotiate the terms of the solution and execute a contract with the client
Consistently utilize data and client feedback to understand how the program is performing towards solving their challenges
Establish a feedback loop where you use data from the program to inform each stakeholder on the progress, outcomes, and additional recommendations based upon what you are learning

Required Education/Experience/Skills:

Bachelor's Degree
At least 2-5 years' experience in Sales/Business Development/Project Management/ or Life Sciences
Demonstrated intellectual curiosity
Conflict able – not conflict averse, not conflict prone, but conflict ready
Absence of call reluctance
High attention to detail
High initiative
The desire to help customers and co-workers

Life Science Connect offers a generous compensation package. In addition to a competitive salary, you'll enjoy:

Medical/vision/prescription/dental coverage for you and your family
100% company-paid short- and long-term disability insurance
100% company-paid life insurance
401(k) with dollar-for-dollar company match up to 6%
15 vacation days and 6 personal days on day 1
13 company-paid holidays","Business Development, Communication, Life Sciences, Market Analysis, Negotiation, New Business Development
, Project Management, Sales, Sales Processes, Supplier Relationship Management

"
"Business Development Associate/Manager
","About the job
ZYD Energy, Inc. is a start-up developing innovative thermal energy storage management solutions to support building decarbonization. With the rapid expansion of renewable energy use and building electrification to reduce fossil fuel consumption, there is a growing need for energy storage solutions to align building electricity use with renewable energy generation to effectively reduce greenhouse gas emissions. ZYD Energy addresses this market need with advanced thermal energy storage management technologies for water heating systems, the second largest source of energy use and greenhouse gas emissions in buildings. We provide system-level control and optimization solutions to integrate heat pump water heaters with thermal energy storage equipment to achieve grid-interactive and high-efficiency operation. Our solutions help customers to minimize energy cost and greenhouse gas emissions while support reliable grid operation.


Our development is currently funded by the US Department of Energy and the California Energy Commission. We are proud to work with a broad range of leaders in the industry, including green building designers, Lawrence Berkeley National Laboratory, and thermal energy storage technology manufacturers. We are also assisting major utility companies in California to conduct building science research in related areas.


We are a team of passionate individuals who are dedicated to making a positive impact on the environment by reducing carbon emissions in the built environment. We are seeking an energetic Business Development Associate to join our team and help drive the growth of our building decarbonization technology business. In this role, you will be responsible for developing business strategies, building client relationships, and developing new business opportunities. If you are passionate about sustainability, seeking a dynamic and collaborative work environment with career growth opportunities, and interested in working with a broad range of entities and professionals in building decarbonization community, we would love to hear from you.


Key responsibilities of this position include:

• Supporting the development and execution of commercialization strategies and plans

• Cultivating strong relationships with new clients and partners, while maintaining existing client relationships

• Supporting marketing material development

• Identifying additional opportunities for growth through market research and outreach

• Maintaining a deep understanding of industry trends, market dynamics, and regulations affecting the building decarbonization market

• Collaborating with the technical team to develop proposals and presentations to pursue funding opportunities.

• Supporting project management and report development


The ideal candidate will have:

• A bachelor's degree in related field

• More than two years of industry experience in relevant fields

• Excellent written and verbal communication skills

• Strong interpersonal skills with the ability to engage effectively with various partners, clients, and entities.

• An ability to take on multiple responsibilities and wear many hats in a fast-paced start-up environment

• A positive attitude and a collaborative spirit with a willingness to work through challenges as a team

• A passion for sustainability and reducing carbon emissions in the built environment


Please provide a cover letter and resume for the application. A writing sample is preferred but not required.","Carbon Emissions, Communication, Customer Satisfaction

, Interpersonal Skills, Lead Generation, Market Research, Marketing Materials

, Oral Communication, Presentation Skills, Presentations"
Senior Product Analyst,"About the job
Title: Principal Product Analytics Location: Remote Duration: Full-time Compensation: 140K-160K

Our client in the healthcare space is looking to hire a Principal Product Analyst who will take ownership and deliver high-level projects from end to end. In this role, you will be responsible for two main functions which include; serving as the lead analyst for reporting and data strategy as well as ensuring the organization's business strategy is aligned with its data strategy.

Qualifications:5+ years Statistics and Analytic tools experience (Google Analytics, Adobe Analytics, etc.) Ability to partner cross-functionally with stakeholders to understand business requirements Intermediate to advanced level of experience with data wrangling; experience utilizing Python, SQL, and R is required Must be able to drive an understanding and adherence to the principles of data quality and management (metadata, lineage, and business definitions) Bachelor's degree in Computer Science, Information Technology, Data Analytics or Statistics, Mathematics, Data Science, or an equivalent degree is required","Data Science, Analytical Skills,Analytics, Business Requirements, Data Analytics, Data Wrangling, Marketing Analytics, Product Analysis, Product Analytics, Web Analytics"
Business Analyst,"About the job
Position Details

Location: Sacramento, CA (Hybrid Remote/Onsite 2x a week/Local from Day 1)

Type: 12 Month Contract

Must have GC or USC ONLY


Must Have

Experience gathering and joining data from multiple systems/sources to create comprehensive reports.
Experience gathering implementation requirements and designing implementation plans for large, complex, enterprise-level IT/telecommunications projects.
Experience with large, complex telecommunications service implementations/migrations (must be on the resume!)
LinkedIn Profile

Qualifications

Minimum Qualifications

Experience gathering and joining data from multiple systems/sources to create comprehensive reports.
Experience gathering implementation requirements and designing implementation plans for large, complex, enterprise-level IT/telecommunications projects.
Excellent communication skills to communicate with all levels of the organization, including technical and non-technical stakeholders
Experience scheduling and facilitating meetings to elicit information and to validate data and requirements
Experience generating reports to identify data anomalies
Experience coordinating error corrections and updates to systems of record
Experience validating that source data systems are properly updated
Experience with MS Excel data analysis including pivot tables.
Experience utilizing shared spreadsheets such as with Smartsheet, Google Drive, or MS Teams

Preferred Qualifications

Experience in higher education
Experience in building and managing customer/client relationships
Experience with large, complex telecommunications service implementations/migrations","Data Analysis, Problem Solving, Analytical Skills, Business Process, Business Requirements, Communication, Data Analytics, Implementation Plans, Pivot Tables, Telecommunications"
Business Analyst,"About the job
Job Title: Business Analyst

Hybrid - Preferred location - Jacksonville, FL; Alternate locations: Charlotte, New York, Dallas

Duration: Long term

Business Analysis
SQL
Data Analysis

Experience 10to12Yrs

Required Skills ,Enterprise Data Management

Roles & Responsibilities

The role of the BA is to server as a liaison between the business users and the analytics team gathering business and technical requirements to ensure the team accurately and efficiently produces solutions to complex business issues. Identify opportunities for improvement within the analytics teams processes as well as the business. Key Responsibilities: "" Work with business stakeholders to gather\document\maintain business requirements "" Properly identify problem statement and recommend effective approach and\or solutions "" Map relevant data source needed to execute : Systems, Databases, Tables\Views, Fields "" When necessary, create process flows to understand operational processes as it relates to identified issues "" Work with business leaders to identify gaps eeds uances to assist Data Analysts in execution "" Identify opportunities for improvements within the analytics teams day to day processes "" Works with business users to explain results and ensure resolutions is met .

Rajeev Singh

Account Manager

Diverse Lynx LLC.

Direct No: 732-694-3395

Office: +732-452-1006 ext: 216

Email: rajeev.kumar@diverselynx.com | URL: http://www.diverselynx.com

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.","Data Analysis, Problem Solving, Analytical Skills, Business Analysis, Business Process, Business Requirements, Data Analytics, Enterprise Data, Enterprise Data Management, Technical Requirements"
Business Analyst / Scrum Master,"About the job
Track Group is in need of an experienced Business Analyst/Scrum Master on our software development team to help us better respond to customer needs and increase our software delivery speed to market.

Business analysis responsibilities documenting customer needs, requirements, and quality assurance criteria to allow the development team to focus more specifically on software development and managing that development.
Help reduce cycle times by providing more thorough analysis and explanation of issues so Developers do the right thing the first time around and Quality Assurance can correctly determine if the task was completed according to documented specifications.
Implementation and ongoing facilitation of scrum/agile processes with the development, quality assurance, operations, and product management teams to result in predictable release cycles.
Implement prioritization processes with all stakeholders within the scrum/agile framework.

This is a role within the software development team because we need someone who understands development enough to take requirements from Product Managers and identify what additional information and design is needed to allow a Software Developer to actually complete the task. This is not a technical design position, but this person needs to understand when technical design is needed. This person will work closely with the software development team on all tasks.

This is NOT a Business Analytics position. We are not looking for this person to write data visualizations or do predictive modeling.

Benefits

Generous amounts of time away from work to promote a healthy work-life balance. We offer unlimited paid vacation days in addition to observing 11 major holidays per year.
Access to Medical, Dental and Vision insurances with a company contribution for you and any covered dependents.
Life Insurance, Short-Term Disability Insurance and an Employee Assistance Program provided to you at the company’s expense.
Ability to contribute to a company sponsored 401(k) retirement plan with a company match on your contributions.
Opportunities for growth along our clearly defined Career Path, including mentorship and leadership development programs to help you achieve all of your professional goals.","Problem Solving, Analytical Skills, Analytics, Business Analysis, Business Process, Business Requirements, Documentation, Quality Assurance, Software Deployment, User Acceptance Testing"
